feature,importance
solar_noon_distance,0.3819800310487403
hour_cos,0.3573061260468984
cloud_cover,0.24259845287376927
day_sin,0.013222039728126448
cloud_visibility_interaction,0.0020961822196700185
temp_humidity_interaction,0.000647483974888707
pressure,0.0004489286180947645
temperature,0.00032169186021120504
day_cos,0.0002569887997694824
visibility,0.00023434920352629466
wind_direction_sin,0.00018901013400482873
humidity,0.0001813712353780894
wind_direction,0.0001533173178479961
wind_pressure_interaction,0.00012173740632684533
wind_speed,0.00010508086094536177
hour_sin,8.041063745323477e-05
wind_direction_cos,5.679803434880927e-05
